Исходные данные,Референс,Результат работы классификатора 
рычаг 1Y-51-SLOI-7120 Сверхпроводящий,гирокомпас 1Y-51-SLOI-7120 ,1
термометр RG-61-KO1P-7264 ,термометр LO-66-GYP3-8279 ,0
вихрь WV-20-CB7Z-6113 ,вихрь LZ-90-YCY1-8389 ,0
градусник JT-38-PMRE-8207 ,градусник 1G-03-F7DI-4124 ,0
клапан VP-53-GPRP-9961 ,нож VP-53-GPRP-9961 ,1
структурирование RI-42-93GG-7192 Силовой,структурирование J3-46-PJSW-1993 Силовой,0
анализатор OB-47-R9FE-2172 Робототехнический,аргон OB-47-R9FE-2172 Робототехнический,1
врезка 8B-87-O1SN-9190 ,врезка 1R-57-0LDG-5811 ,0
паста R6-05-NOCU-8712 ,паста R6-05-5OCU-8712 ,0
тент RZ-66-O3OP-9125 ,тент RZ-66-03OP-9125 ,0
энтузиазм ZA-13-PG6S-0498 Металлургический,аргон ZA-13-PG6S-0498 ,1
клепка R6-56-0H0R-6661 Радиолокационный,клепка R6-56-0H0R-7661 Радиолокационный,0
последовательность PW-36-ZUFZ-3608 Гальванический,последовательность TL-82-NU2I-0056 ,0
циркуль 6T-20-FO0J-4201 Метрологический,циркуль 6T-20-FO0J-4201 Эргономический,1
аппаратура IS-03-KBMA-5567 Робототехнический,фильтр IS-03-KBMA-5567 Ядерный,1
структурирование LP-80-42FS-1478 Оптический,вихрь LP-80-42FS-1478 ,1
рычаг 2D-02-C2GX-2537 Метрологический,рычаг 2D-02-22GX-2537 Метрологический,0
диспергирование FP-38-P6K5-3558 ,диспергирование QP-87-7ZC8-1362 ,0
двигатель MG-81-05EL-0260 Гравитационный,холодильник MG-81-05EL-0260 ,1
шпатель Y8-94-6NYW-1774 ,шпатель 9Z-57-M9Z3-3211 ,0
градусник KP-10-SUZU-2253 ,градусник V8-94-Q95G-0494 ,0
врезка H9-42-ES1P-7322 ,врезка H9-46-ES1P-7322 ,0
расчет 81-34-U9DZ-0581 ,расчет 81-34-U94Z-0581 ,0
струновка XC-33-C1RX-9146 ,струновка EG-80-W898-1224 ,0
бита VY-07-IYYC-1674 Телекоммуникационный,гидрамеханика VY-07-IYYC-1674 Управляющий,1
игла G0-18-E2KX-7208 Метрологический,щетка G0-18-E2KX-7208 ,1
структурирование 7S-91-2GEO-2809 Полупроводниковый,олово 7S-91-2GEO-2809 Энергетический,1
шпатель YA-29-H4I8-2945 Биомедицинский,вихрь YA-29-H4I8-2945 ,1
пила 06-41-73YY-1991 Микробиологический,крестовина 06-41-73YY-1991 Управляющий,1
рычаг BO-54-UYZR-3554 Кибернетический,термометр BO-54-UYZR-3554 ,1
холодильник VB-81-O6QB-4270 Фотографический,рулетка VB-81-O6QB-4270 ,1
водоснабжение J0-79-HQHK-4367 ,водоснабжение J0-79-HQHK-4567 ,0
расчет N9-21-RC8K-8378 Биомедицинский,лагерь N9-21-RC8K-8378 Биомедицинский,1
тисочки CG-43-WSQQ-4909 Биотехнологический,моделирование CG-43-WSQQ-4909 ,1
настой OI-24-E3LV-0327 Технический,тренога OI-24-E3LV-0327 ,1
щетка BN-48-AEGB-0054 Биотехнологический,вал BN-48-AEGB-0054 ,1
датчик UE-32-AISM-1567 Ядерный,датчик NL-50-K1XL-0208 Ядерный,0
пульсометр LZ-03-LVKN-0025 ,пульсометр H7-85-NBND-4398 ,0
турбулентность 0Q-47-Q6CC-1597 ,турбулентность 0Q-47-Q6C8-1597 ,0
имитация 7K-06-50DN-5034 Телекоммуникационный,сварка 7K-06-50DN-5034 Телекоммуникационный,1
гирокомпас BQ-70-7EM4-5701 Сверхпроводящий,циркуль BQ-70-7EM4-5701 Сверхпроводящий,1
клещ FE-72-LWQS-5009 ,клещ FE-723LWQS-5009 ,0
программатор 6M-89-DBC4-2574 Гидравлический,программатор 6M-89-DB94-2574 Гидравлический,0
проточка 2Q-05-AUZW-4203 ,проточка 2Q-05-AUZW64203 ,0
дырокол 1S-12-198A-2621 ,дырокол S8-98-EKS8-9185 ,0
гидрамеханика YL-48-N3BG-7556 ,пассатижи YL-48-N3BG-7556 ,0
градусник YV-24-KITQ-0170 Проектировочный,градусник YV-24-KITQ-0170 ,1
жесткость 9Z-11-LLZ6-9950 ,жесткость X7-85-IC7L-2941 ,0
дырокол TP-51-DQTZ-9046 ,дырокол BZ-26-19UA-1209 ,0
аппаратура CU-40-9UK4-9925 Механический,паяльник CU-40-9UK4-9925 ,1
опробование LD-50-KFJH-5440 Конструктивный,молоток LD-50-KFJH-5440 ,1
термометр 8V-90-7YH9-8145 Расчетный,рельс 8V-90-7YH9-8145 ,1
аналитика UX-53-IJTZ-5481 ,аналитика 0X-53-IJTZ-5481 ,0
шуруповерт 75-31-VPZB-7202 Регулирующий,последовательность 75-31-VPZB-7202 ,1
шкала X9-28-XMU7-3489 Фотографический,шкала X9-289XMU7-3489 Фотографический,0
идеализация 9U-67-T03J-1884 Гравитационный,доска 9U-67-T03J-1884 Телекоммуникационный,1
пила YK-70-8EY4-6716 Аэродинамический,отвертка YK-70-8EY4-6716 Гравитационный,1
амортизация 3U-80-WQZH-7681 Криогенный,амортизация FX-65-UW82-2727 Криогенный,0
каталогизация AZ-14-672K-7233 ,каталогизация AZ-14-6728-7233 ,0
аппаратура B2-98-5DUL-7283 Радиолокационный,плоскогубцы B2-98-5DUL-7283 Радиолокационный,1
сварка 70-44-V67I-2525 ,сварка 70944-V67I-2525 ,0
гирокомпас 7M-93-G9EB-3437 Эргономический,игла 7M-935G9EB-3437 Эргономический,0
моделирование MW-30-T6Q3-8661 Энергетический,игла MW-30-T6Q3-8661 ,1
амортизация 6D-46-AGTM-7151 ,амортизация YM-75-G9CN-1668 ,0
цилиндр 2N-51-NLDW-6846 ,переименование 2N-51-NLDW-6846 ,1
доска IK-08-OGKN-4793 Исследовательский,доска IK-08-OGK6-4793 ,0
гидростатика 5S-58-VJAA-3354 Вибрационный,гидростатика 8T-51-3G60-3251 Вибрационный,0
пила UV-57-VDQU-1743 ,пила UV-57-VDQU-0743 ,0
рельс EM-46-4L4J-7193 ,рельс EM-46-4L4J-7173 ,0
тент IN-94-WIZJ-2450 Биомедицинский,щетка IN-94-WIZJ-2450 Биомедицинский,1
аргон G4-73-HPR6-0312 Генетический,бита G4-73-HPR6-0312 Гравитационный,1
спарка RK-54-5296-2921 Лазерный,спарка RK-54-5296-2921 ,1
пульсометр 9R-69-38DO-8320 Электрический,пульсометр 9R-69238DO-8320 Электрический,0
дырокол 5A-55-Z24I-1802 Акустический,градусник 5A-55-Z24I-1802 Нанотехнологический,1
гирокомпас SI-53-5MK1-1585 ,гирокомпас PJ-55-DKBZ-4938 ,0
щетка U3-30-003Q-4726 Гидравлический,пилка U3-30-003Q-4726 ,1
энтузиазм 1Q-74-JNDS-9375 Технический,клещи 1Q-74-JNDS-9375 ,1
каталогизация B5-47-OUNB-2028 ,каталогизация B5-47-OUNB-2038 ,0
клапан 4Y-63-X7JW-8117 ,субкультура 4Y-63-X7JW-8117 ,1
доска ZL-10-3JIX-1031 Фотографический,рычаг ZL-10-3JIX-1031 ,1
анализатор ER-48-UVO0-1304 Механический,якорь ER-48-UVO0-1304 Метрологический,1
эксперимент JY-02-SZYT-1042 ,эксперимент AF-61-3OUL-8404 ,0
детектор XN-12-2FP2-8400 Автоматический,оврископ XN-12-2FP2-8400 Автоматический,1
оврископ BW-83-L1OJ-9274 ,оврископ BW-83-L1O8-9274 ,0
амортизация PS-84-U67E-9932 ,ключ PS-84-U67E-9932 ,1
врезка 7M-02-X4RB-8762 Биотехнологический,отвертка 7M-02-X4RB-8762 ,1
антенна 9W-49-O8Z5-7368 Механический,антенна 9W-49-O8Z5-7368 Гравитационный,1
крюки FL-56-SO5C-0976 ,трапеция FL-56-SO5C-0976 ,1
гирокомпас 0G-65-TPWP-0251 ,гирокомпас DY-30-NB7Z-0385 ,0
фильтр 4N-28-2PLZ-9237 Регулирующий,игла 4N-28-2PLZ-9237 ,1
врезка R0-62-ZUM3-5489 ,краскопульт G8-30-ZGIE-1648 ,0
переименование 2H-26-TJTX-1959 Генетический,фильтр 2H-26-TJTX-1959 Ядерный,1
кисточка SP-27-78W1-9308 ,кисточка 0Z-16-IFS5-1719 ,0
градусник C1-16-FM13-6329 ,градусник OJ-37-YOT8-9879 ,0
клещи 8C-70-JKPQ-7683 Компьютерный,тиски 8C-70-JKPQ-7683 ,1
клещ 8R-56-M4V3-0913 Безопасностный,клещ 8R-36-M4V3-0913 Безопасностный,0
пила YS-56-UHIY-8283 ,пила 4E-30-9K75-4134 ,0
термометр SR-02-XBJA-3336 ,фонарь SR-02-XBJA-3336 ,1
спарка W5-50-DHZD-8489 ,спарка W6-33-QPU1-3132 ,0
циркуль KY-06-L0XQ-2927 ,циркуль ZH-36-1CO4-4887 ,0
темномер 2K-35-R1BA-4089 Акустический,темномер 2K-35-R2BA-4089 Акустический,0
водоснабжение FN-19-VS9X-7697 Телекоммуникационный,проточка FN-19-VS9X-7697 Химический,1
диспергирование AZ-39-GVYW-5334 Нанотехнологический,симуляция AZ-39-GVYW-5334 ,1
тисочки R1-25-W9WH-7187 Экологический,термометр R1-25-W9WH-7187 ,1
шуруповерт CK-67-JT68-3744 ,шуруповерт CK-674JT68-3744 ,0
программатор 4N-78-NGNG-8767 ,двутавр 4N-78-NGNG-8767 ,1
отвертка HP-16-X67A-4054 Ядерный,пассатижи HP-16-X67A-4054 ,1
лагерь FS-79-P39D-1765 ,лагерь F7-79-P39D-1765 ,0
энтузиазм EP-97-F859-8535 Гидравлический,энтузиазм W5-04-E479-6220 Гидравлический,0
аналитика SC-49-BT6I-2971 ,аналитика TK-17-OXJ9-0315 ,0
двигатель VO-16-BI7P-9715 ,двигатель VO-56-BI7P-9715 ,0
циркуль 1R-88-56U3-0790 ,отвертка 1R-88-56U3-0790 ,1
настой DR-02-ZGN4-5688 Автоматический,краскопульт DR-02-ZGN4-5688 ,1
паяльник U3-65-EN1E-1039 ,лента U3-65-EN1E-1039 ,1
датчик LU-49-DEWU-5377 ,датчик LU-49-DEWU95377 ,0
сварка RF-89-JA9H-7163 ,амортизация RF-89-JA9H-7163 ,1
термометр AL-71-FSLZ-4280 ,термометр 3Y-16-EQP6-7678 ,0
лента 5N-78-4XKO-8490 Архитектурный,клещи 5N-78-4XKO-8490 Металлургический,1
компрессор MG-94-KNPB-2984 ,компрессор OU-95-1XYV-6869 ,0
клещ FA-09-CCCS-0585 Оптический,клещ FA-09-CCCS-0585 ,1
уровень EZ-00-Q8CT-7419 Метрологический,уровень 3M-55-S9RS-9240 ,0
отвертка TJ-60-WNVT-0217 Оптический,отвертка TJ-60-WNVT-0217 ,1
холодильник 8K-04-T81K-8273 Металлургический,циркуль 8K-04-T81K-8273 ,1
краскопульт V1-70-9UT5-3412 Эргономический,крестовина V1-70-9UT5-3412 ,1
такометр LN-99-EO30-0933 ,такометр EQ-68-HH8N-8836 ,0
идеализация V7-79-JLCD-3051 Робототехнический,цилиндр V7-79-JLCD-3051 Ядерный,1
пульсометр 5X-04-BNDG-5239 Акустический,спарка 5X-04-BNDG-5239 ,1
краскопульт 7S-12-XN7W-6598 Лазерный,краскопульт 7S-12-3N7W-6598 Лазерный,0
шкала A8-94-MOMQ-3892 ,шкала A8-94-MOMQ-3892 ,1
рычаг JJ-97-DZYK-4689 ,рычаг 0J-42-CL8P-8492 ,0
электродвигатель VQ-08-T20D-4297 Телекоммуникационный,электродвигатель PJ-45-G2IN-1759 Телекоммуникационный,0
холодильник 86-13-QNRL-7313 ,холодильник 86-13-QNRL-7513 ,0
рычаг H1-21-0W0U-3937 Генетический,клапан H1-21-0W0U-3937 ,1
структурирование O8-23-J1V5-5944 Биомедицинский,щетка O8-23-J1V5-5944 ,1
трапеция IU-98-ADG9-6325 Экологический,трапеция I7-42-1CBO-3367 Экологический,0
молоток 5Z-69-YH2Q-8578 Архитектурный,молоток 5Z-69-YH2Q-8578 Конструктивный,1
клапан VI-31-TZG9-1356 Компьютерный,клапан VI831-TZG9-1356 Компьютерный,0
олово FL-32-T0F9-9392 ,олово FL-32-10F9-9392 ,0
вихрь SX-06-CB28-9117 Архитектурный,цилиндр SX-06-CB28-9117 Тепловой,1
рельс Y7-10-R95O-2838 ,рельс TK-13-4RRC-6476 ,0
кисточка CC-74-V1MI-6071 ,доска CC-74-V1MI-6071 ,1
клепка 4F-63-SUP1-6287 Управляющий,тент 4F-63-SUP1-6287 ,1
последовательность TU-60-OAD5-9365 ,последовательность TU-60-OAD5-5365 ,0
стамеска 0I-18-9AL5-2785 ,стамеска 0I-58-9AL5-2785 ,0
катушка 7Z-68-676F-0722 Архитектурный,компрессор 7Z-68-676F-0722 ,1
шпатель WH-78-K9Q1-4709 Регулирующий,шпатель 2G-36-2L3H-7969 Регулирующий,0
стамеска C3-04-2ZBE-9781 ,рулетка C3-04-2Z4E-9781 ,1
датчик RR-88-76PZ-8112 ,паста RR-88-76PZ-8112 ,1
аппаратура KB-70-Z34W-5089 Гидравлический,аппаратура KB-70-Z34W-5089 Проектировочный,1
олово 6H-48-XUM2-0068 Расчетный,олово CR-14-4C2P-7387 ,0
двутавр 32-92-2UZ3-1853 Тепловой,фильтр 32-92-2UZ3-1853 ,1
паяльник W8-65-I0CS-6039 Безопасностный,паяльник 8K-32-S860-0574 Безопасностный,0
якорь 4V-40-EQ5V-6863 Гидравлический,якорь 4V-40-EQ5V-6863 ,1
двутавр L7-23-2R6V-8072 Биомедицинский,двутавр L7-23-2R6V-8072 ,1
шпатель 2G-36-CNCS-0017 Термический,опробование 2G-36-CNCS-0017 Конструктивный,1
идеализация BD-87-TDI9-4343 Радиотехнический,цанга BD-87-TDI9-4343 Энергетический,1
лента 6P-97-VAUI-0715 ,холодильник 6P-97-VAUI-0715 ,1
пилка WN-24-GQUF-9606 Аэродинамический,жесткость WN-24-GQUF-9606 Конструктивный,1
отвертка HW-35-ZDYK-5538 Полупроводниковый,термометр HW-35-ZDYK-5538 Телекоммуникационный,1
лагерь 0P-59-SWKD-1782 ,лагерь Q7-57-T1NH-4488 ,0
проточка H1-42-P9XV-3125 ,проточка H1-02-P9XV-3125 ,1
гвоздодер E1-15-DFO3-9979 ,ассоциация E1-15-1FO3-9979 ,0
краскопульт R6-63-FXNS-0498 Тепловой,катушка R6-63-FXNS-0498 ,1
водоснабжение KU-22-DXQ3-9911 Оптический,компрессор KU-22-DXQ3-9911 ,1
диспергирование PG-56-D9IV-2499 Эргономический,диспергирование PG-56-49IV-2499 Эргономический,0
игла IG-97-HFYW-6614 ,игла 1G-97-HFYW-6614 ,0
аппаратура 5S-13-WOL9-9700 Гальванический,анализатор 5S-13-WOL9-9700 ,1
нож AR-83-OY6K-8831 Нанотехнологический,нож AR-83-OY6K-8831 Нанотехнологический,1
моделирование R3-95-PXFO-8837 Силовой,каталогизация R3-95-PXFO-8837 ,1
рычаг 27-87-0CYI-7508 ,рычаг 3H-33-GACT-2381 ,0
щетка 6X-18-NTPD-3560 ,щетка 6X-18-NTPD-3570 ,0
моделирование A4-25-3I4J-8582 Сверхпроводящий,моделирование 2W-97-JFAX-7535 Сверхпроводящий,0
такометр 2G-91-4W6Y-5991 Робототехнический,такометр 2G-91-4W6Y-4991 Робототехнический,0
рулетка 7J-46-K064-2665 Расчетный,проточка 7J-46-K064-2665 Ядерный,1
паяльник 7Y-74-0Q3Y-9383 Радиотехнический,циркуль 7Y-74-0Q3Y-9383 ,1
программатор UD-14-EY7F-4871 Оптический,рельс UD-14-EY7F-4871 ,1
проточка 0L-20-SDPW-6839 ,темномер 0L-20-SDPW-6839 ,1
шуруповерт L2-80-MVM9-1761 ,имитация L2-80-MVM9-1761 ,1
клапан IN-60-N4VK-5429 Радиолокационный,циркуль IN-60-N4VK-5429 ,1
рычаг V0-28-ICA6-8578 Лазерный,вал V0-28-ICA6-8578 ,1
шкала 6F-07-8766-4917 ,шкала 6F-0758766-4917 ,0
олово 54-27-C3FT-8861 Проектировочный,олово CQ-78-BNFI-5129 Проектировочный,0
реостат TJ-66-D6EA-6597 Фотографический,реостат OJ-32-4GRV-5130 Фотографический,0
амортизация OR-28-1OVU-8627 Газодинамический,каталогизация OR-28-1OVU-8627 Электрический,1
щетка CK-02-229Y-4333 Электрический,бита CK-02-229Y-4333 ,1
анализатор QF-54-G9KJ-8309 ,шпатель QF-54-G9KJ-8309 ,0
вал VT-53-OOA4-4558 Металлургический,моделирование VT-53-OOA4-4558 ,1
клепка U6-88-GDG8-4386 Биотехнологический,клепка U6-88-GDG8-4386 ,1
бита PF-49-DLDU-2692 Исследовательский,кисточка PF-49-DLDU-2692 ,1
бита 48-40-YF0D-0403 Электрический,переименование 48-40-YF0D-0403 Геотехнический,1
струновка F9-94-HNB6-1286 Генетический,струновка 6T-03-ZW0X-4544 Генетический,0
цилиндр A4-84-MRAW-7090 Полупроводниковый,шкала A4-84-MRAW-7090 ,1
реостат BQ-17-TNBR-1580 ,реостат B2-17-TNBR-1580 ,0
шуруповерт D6-95-1945-8544 Металлургический,моделирование D6-95-1945-8544 Биомедицинский,1
пассатижи D9-06-UA9Y-6699 Технический,гидростатика D9-06-UA9Y-6699 Робототехнический,1
паста FI-81-M3L0-7486 Газодинамический,паста FI-89-M3L0-7486 Газодинамический,0
вал VE-83-VQLR-3968 Химический,вал VE-83-VQLR-3968 ,1
полумесяц HK-06-RYK8-1853 Радиотехнический,турбулентность HK-06-RYK8-1853 ,1
клещи AM-61-V72D-8362 Исследовательский,краскопульт AM-61-V72D-8362 Эргономический,1
симуляция EO-78-3OBL-7374 ,симуляция E6-78-3OBL-7374 ,0
тент MT-69-ZTOG-3728 ,тент MT-69-ZTOG-3728 ,1
станция J6-94-JEKE-6443 ,станция J6-98-JEKE-6443 ,0
энтузиазм 1Q-96-268O-9053 ,энтузиазм 1Q-98-268O-9053 ,0
катушка 6Q-46-7JC7-8579 ,катушка 2B-70-HA00-0464 ,0
антенна SO-41-7PM0-4340 Радиочастотный,антенна SO-41-7PM094340 Радиочастотный,1
термометр 39-57-RQPH-2142 ,термометр 39-57-R7PH-2142 ,0
шуруповерт BQ-91-Q00B-4889 Оптический,турбулентность BQ-91-Q00B-4889 ,1
нож 0G-65-7BJ3-9997 ,нож 9G-65-7BJ3-9997 ,1
компрессор I8-43-NQX7-5351 Вибрационный,струновка I8-43-NQX7-5351 ,1
станция 3Z-49-W27E-5699 Архитектурный,проточка 3Z-49-W27E-5699 ,1
клепка S3-56-T0YF-7045 Газодинамический,нож S3-56-T0YF-7045 ,1
дырокол C4-33-NIUG-5767 ,дырокол J9-61-O5BK-6848 ,0
кисточка JA-02-MYGI-1641 ,тренога JA-02-MYGI-1641 ,1
проточка QZ-28-GH4A-5198 ,проточка QZ-28-9H4A-5198 ,0
отвертка 0W-77-KFTN-8848 Гальванический,отвертка 0W-77-KFTN-5848 Гальванический,1
датчик IE-04-5YLJ-7526 Кинематический,такометр IE-04-5YLJ-7526 ,1
ключ VT-63-194C-2442 Силовой,сварка VT-63-194C-2442 Силовой,1
аргон QZ-41-JWC3-3783 ,аргон 88-27-23FR-6071 ,0
оружие I9-63-SN20-2532 Оптический,компрессор I9-63-SN20-2532 ,1
пила 2W-11-IQEW-4533 Силовой,пила 88-69-I87C-7861 Силовой,0
гирокомпас NE-94-6SOW-9960 Механический,гирокомпас NE-14-6SOW-9960 Механический,0
фильтр D9-59-L4E2-1920 Технический,цилиндр D9-59-L4E2-1920 Генетический,1
диспергирование XE-56-LFLZ-4867 Биомедицинский,тисочки XE-56-LFLZ-4867 Сверхпроводящий,0
тренога I8-53-ZDIF-7561 Автоматический,тренога I8-53-ZDIF-7561 ,1
гирокомпас XW-42-NXUP-8637 ,гирокомпас XW742-NXUP-8637 ,0
краскопульт L8-44-CQWN-6319 ,краскопульт L8-44-CQWN-6349 ,0
паяльник AY-63-4539-9779 ,настой AY-63-4539-9779 ,1
циркуль LH-95-8SSX-5516 Робототехнический,пассатижи LH-95-8SSX-5516 ,1
тренога Q6-69-RLWO-1639 Радиочастотный,тренога Q6-69-RLWO-1639 ,1
игла SP-59-54DL-7733 ,игла 81-88-57B3-7460 ,0
врезка MR-54-LJTA-7118 Тепловой,врезка SI-50-K0D0-6327 Тепловой,0
моделирование 8U-75-DPMK-2200 ,моделирование 8U-75-DPMK-2200 ,1
лента 3J-05-S1AU-8834 Гравитационный,клепка 3J-05-S1AU-8834 ,1
трапеция NJ-29-7YAB-7798 Гидравлический,структурирование E2-18-SLNP-1549 Гидравлический,0
детектор 5Z-90-663U-8806 ,детектор X1-65-F50B-6543 ,0
гвоздодер TL-27-8904-9977 Генетический,проточка TL-27-8904-9977 Акустический,1
рулетка KI-85-BEB5-0968 Компьютерный,тара KI-85-BEB5-0968 ,1
детектор LI-60-ZON1-9210 ,энтузиазм LI-60-ZON1-9210 ,1
цилиндр EN-96-LLWL-7154 ,цилиндр U7-00-02SR-5545 ,0
аналитика HB-67-VLIC-2259 Электрический,аналитика HB-67-VLIC-2259 Полупроводниковый,1
водоснабжение PA-27-VJKJ-1259 ,водоснабжение PA-27-VJKJ-1259 ,1
ключ LM-18-OYI1-4092 Конструктивный,цилиндр LM-18-OYI1-4092 ,1
расчет LN-94-E2WL-5043 Гальванический,стамеска LN-94-E2WL-5043 ,1
щетка 84-11-A0NF-7506 Гравитационный,щетка HP-30-7RUE-5192 Гравитационный,1
антенна I5-67-MMU7-2929 ,антенна IY-07-5AIM-0542 ,0
последовательность 3O-06-CLAC-2510 Тепловой,последовательность 3O-06-CLAC-2510 ,1
вал 6I-05-XW81-9979 Управляющий,вал 6I-05-XW83-9979 Управляющий,0
компрессор Y9-95-Y59K-6276 ,компрессор Y9-90-Y59K-6276 ,0
антенна V5-78-HICI-2379 ,антенна F6-91-T9E6-7715 ,0
тара WB-56-0IMV-7917 Геотехнический,двутавр WB-56-0IMV-7917 ,1
субкультура EL-89-2CFL-5864 Регулирующий,аппаратура EL-89-2CFL-5864 Радиочастотный,0
амортизация 5A-33-H0VW-4354 ,тиски 5A-33-H0VW-4354 ,1
гирокомпас BB-74-U3TD-7787 ,гирокомпас 5I-46-MY55-3010 ,0
эксперимент JP-04-95QZ-9969 Компьютерный,эксперимент JP-04-95QZ-9969 ,1
дырокол IE-57-USNA-5785 ,шпатель IE-57-USNA-5785 ,1
рулетка Y8-15-0VXV-8473 Автоматический,дырокол Y8-15-0VXV-8473 ,1
гирокомпас MY-44-1M38-8038 Конструктивный,гирокомпас MY-44-1M38-8038 ,1
каталогизация KM-33-3LE0-9912 Биотехнологический,каталогизация KM-33-3LE0-9912 ,1
аналитика 8V-04-YGXA-8896 ,аналитика 8V-54-YGXA-8896 ,0
крюки C1-54-RWKC-4147 ,крюки VU-58-HN87-7766 ,0
жесткость U3-24-NR6U-5068 Метрологический,жесткость 11-28-R27D-5238 Метрологический,0
клепка JN-32-8CZS-0343 Робототехнический,клепка JN-32-8CZS-0343 Тепловой,1
фонарь FG-44-UBSC-7766 Ядерный,амортизация FG-44-UBSC-7766 Механический,1
врезка US-39-AK8E-0893 Архитектурный,доска US-39-AK8E-0893 ,1
плоскогубцы SB-14-8TH4-0540 ,плоскогубцы S5-14-8TH4-0540 ,0
станция J9-63-1U1T-2602 Технический,станция J9-63-1U1T-2602 ,1
турбулентность 7O-34-NI9N-2398 Радиотехнический,отвертка 7O-34-NI9N-2398 ,1
нож NN-28-261H-0169 Электрический,водоснабжение NN-28-261H-0169 ,1
турбулентность 8T-53-ETML-9365 ,турбулентность 58-60-3J7E-8880 ,1
бита EH-87-Z99Q-2068 Аэродинамический,каталогизация EH-87-Z99Q-2068 ,1
пассатижи BY-84-IB40-5720 Силовой,дырокол BY-84-IB40-5720 ,1
лента 4L-95-YE7S-4500 ,лента AL-01-3OMG-5838 ,0
тент E7-48-K368-3739 Радиолокационный,тент E7-48-3368-3739 Радиолокационный,0
клещи 4C-43-N4IW-2133 Технический,темномер 4C-43-N4IW-2133 ,1
полумесяц WS-51-LE0G-1945 Архитектурный,лагерь WS-51-LE0G-1945 ,1
пилка F0-93-O4HC-4447 Криогенный,плоскогубцы F0-93-O4HC-4447 ,1
катушка D5-53-8B5I-3545 Автоматический,клещ D5-53-8B5I-3545 ,1
паста CA-81-LHWX-2723 ,паста IH-86-OQZT-3206 ,0
клещи 2J-69-YED8-3049 ,клещи 8S-09-N12O-0876 ,0
шуруповерт N9-60-G7FR-9152 ,шуруповерт JC-56-LKBH-1025 ,0
плоскогубцы AF-86-AZPF-6453 Полупроводниковый,плоскогубцы AF-87-AZPF-6453 Полупроводниковый,0
термометр RI-36-1C53-9896 Оптический,краскопульт RI-36-1C53-9896 Оптический,1
темномер 9F-43-1N4X-6080 ,темномер 91-43-1N4X-6080 ,0
пилка GM-88-R5B7-0656 ,пилка MA-83-AWWG-0086 ,0
электросверло KW-61-1FSH-9761 Расчетный,струновка KW-61-1FSH-9761 ,1
шуруповерт 50-63-XEOJ-0265 Механический,диспергирование 50-63-XEOJ-0265 Ядерный,1
антенна ML-00-QBYP-6542 Силовой,антенна ML-00-QBYP-6542 ,1
клещи MH-62-87HX-9060 Энергетический,водоснабжение MH-62-87HX-9060 ,1
расчет 32-85-ONNH-0076 Термический,расчет 32-85-ON8H-0076 Термический,0
настой LX-32-6ESR-1379 Механический,настой LX-32-6ESR-1379 Расчетный,1
настой LS-16-1B3W-6056 Биомедицинский,настой LS-16-1B3W-7056 Биомедицинский,0
цилиндр AU-70-UK1C-6344 ,цилиндр AU-70-UK1C16344 ,0
компрессор JB-11-MJJE-3604 ,аттестация JB-11-MJJE-3604 ,1
расчет QO-15-OWOO-9632 Механический,врезка QO-15-OWOO-9632 ,1
молоток YZ-22-GUL4-0523 Управляющий,двигатель YZ-22-GUL4-0523 ,1
лагерь 8A-96-IQ4Z-3679 ,тиски 8A-96-IQ4Z-3679 ,1
структурирование 9J-31-12JC-7287 Расчетный,паяльник 9J-31-12JC-7287 Расчетный,1
тисочки FY-96-YXAV-5790 Акустический,тисочки M7-67-QMN3-7762 Акустический,0
уровень LC-80-FQX9-0247 ,уровень 8G-53-JCGP-1832 ,0
энтузиазм Y2-17-7CAE-5469 Безопасностный,энтузиазм Y2-17-7CAE-5469 ,1
такометр 7Z-73-TUBE-1986 Микробиологический,такометр 5J-71-WQB8-5425 Микробиологический,0
сварка MJ-57-FEJO-2237 Биотехнологический,сварка MJ-57-FEJ7-2237 Биотехнологический,0
шуруповерт TD-02-ARWY-4254 Гальванический,шуруповерт TD-02-ARW4-4254 Гальванический,1
станция W5-88-SZJN-8548 Компьютерный,тара W5-88-SZJN-8548 Исследовательский,1
анализатор XJ-74-QWO9-4841 ,анализатор LM-25-AOKL-0113 ,0
лента KR-15-OZYK-9081 Технический,гидрамеханика KR-15-OZYK-9081 ,1
гирокомпас YS-38-G9VS-8829 ,гирокомпас NJ-58-PZBR-9524 ,0
уровень D4-50-KSBV-6410 ,уровень D4-50-KSBV-6410 ,1
диспергирование UT-29-RSQ9-1351 Сверхпроводящий,диспергирование U3-29-RSQ9-1351 Сверхпроводящий,1
субкультура BX-40-LPQY-1144 ,настой BX-40-LPQY-1144 ,1
уровень IP-46-6F6F-5150 Кибернетический,уровень IP-46-6F6F-5450 Кибернетический,0
симуляция X1-59-53OH-9715 Фотографический,пассатижи X1-59-53OH-9715 ,1
последовательность UW-51-G47O-3734 ,последовательность UW-51-G47O-3734 ,0
турбулентность F5-33-NC9V-7875 Проектировочный,турбулентность F5-33-NC9V-7875 Гальванический,1
крестовина YO-39-UB0K-2915 ,крестовина YO-39-UB0K-2975 ,0
компрессор WT-91-V64D-2546 Кинематический,аппаратура WT-91-V64D-2546 ,1
электросверло 1U-57-YM7I-4568 Энергетический,спарка 1U-57-YM7I-4568 ,1
